         446564867 function calls (446165958 primitive calls) in 796.483 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   205886    0.107    0.000    0.107    0.000 reportviews.py:177(__getitem__)
   398905    0.786    0.000    1.406    0.000 reportviews.py:642(__init__)
   398903    0.223    0.000    0.480    0.000 reportviews.py:649(<lambda>)
   398903    0.257    0.000    0.257    0.000 reportviews.py:649(<listcomp>)
  4869041    0.905    0.000    0.905    0.000 reportviews.py:655(<lambda>)
  4869041    1.438    0.000    1.438    0.000 reportviews.py:659(<lambda>)
   398903    0.284    0.000    0.764    0.000 reportviews.py:665(__iter__)
  5267944    2.531    0.000    4.029    0.000 reportviews.py:666(<genexpr>)
  4869043    7.718    0.000    8.722    0.000 reportviews.py:717(__iter__)
   399441    0.307    0.000    1.001    0.000 reportviews.py:906(__init__)
      534    0.001    0.000    0.001    0.000 reportviews.py:928(__getitem__)
   398907    0.382    0.000    1.788    0.000 reportviews.py:933(__call__)
        1    0.000    0.000    0.000    0.000 sre_compile.py:393(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 sre_compile.py:482(_compile_info)
        2    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
        1    0.000    0.000    0.000    0.000 sre_compile.py:542(_code)
        1    0.000    0.000    0.000    0.000 sre_compile.py:557(compile)
        1    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
        1    0.000    0.000    0.000    0.000 sre_parse.py:173(getwidth)
        1    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:232(__next)
        3    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
        3    0.000    0.000    0.000    0.000 sre_parse.py:253(get)
        2    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
        1    0.000    0.000    0.000    0.000 sre_parse.py:407(_parse_sub)
        1    0.000    0.000    0.000    0.000 sre_parse.py:470(_parse)
        1    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 sre_parse.py:828(fix_flags)
        1    0.000    0.000    0.000    0.000 sre_parse.py:844(parse)
 10661380  120.556    0.000  125.993    0.000 utils1_np.py:15(pre_filter_strict_pass)
        2    2.948    1.474  117.030   58.515 utils1_np.py:377(remove_bridges)
 10664660  145.047    0.000  296.899    0.000 utils1_np.py:47(pre_filter_loose_pass)
   105639    0.281    0.000    0.281    0.000 {built-in method _codecs.utf_8_decode}
        4    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        6    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
    39221    0.041    0.000    0.041    0.000 {built-in method _struct.unpack}
      298    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
   399441    0.281    0.000    0.694    0.000 {built-in method builtins.hasattr}
 10717672    4.380    0.000    4.380    0.000 {built-in method builtins.isinstance}
1196711/797808    0.473    0.000    0.635    0.000 {built-in method builtins.iter}
752211/752209    0.170    0.000    0.170    0.000 {built-in method builtins.len}
  2561185    5.438    0.000    5.438    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.min}
 10136985    2.590    0.000    2.590    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
  5496428   20.400    0.000   83.712    0.000 {built-in method builtins.print}
 15534235   18.945    0.000   18.945    0.000 {built-in method builtins.sum}
        2    0.000    0.000    0.000    0.000 {built-in method from_iterable}
        4    0.000    0.000    0.000    0.000 {built-in method io.open}
 21329320   45.954    0.000   45.954    0.000 {built-in method numpy.array}
 13521458   11.020    0.000  136.328    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        6    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
    10665    0.068    0.000    0.068    0.000 {built-in method resource.getrusage}
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.000    0.000 {built-in method zlib.compressobj}
   171710    0.415    0.000    0.415    0.000 {built-in method zlib.crc32}
    13076    0.055    0.000    0.055    0.000 {built-in method zlib.decompressobj}
        2    0.000    0.000    0.000    0.000 {function DecompressReader.close at 0x10d32b9d8}
  1003692    0.247    0.000    0.247    0.000 {method 'add' of 'set' objects}
   605403    0.127    0.000    0.127    0.000 {method 'append' of 'list' objects}
   105639    0.138    0.000    0.138    0.000 {method 'cast' of 'memoryview' objects}
        4    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        2    0.002    0.001    0.002    0.001 {method 'close' of '_io.BufferedWriter' objects}
    52995   59.620    0.001   59.620    0.001 {method 'compress' of 'zlib.Compress' objects}
   105638    3.850    0.000    3.850    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'endswith' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.BufferedWriter' objects}
        2    0.002    0.001    0.002    0.001 {method 'flush' of '_io.BufferedWriter' objects}
        4    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Compress' objects}
  9738082    2.740    0.000    2.740    0.000 {method 'get' of 'dict' objects}
 14319269    2.926    0.000    2.926    0.000 {method 'items' of 'dict' objects}
