         309256021 function calls (308857112 primitive calls) in 297.056 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   399441    0.335    0.000    1.094    0.000 reportviews.py:906(__init__)
      534    0.001    0.000    0.001    0.000 reportviews.py:928(__getitem__)
   398907    0.415    0.000    1.934    0.000 reportviews.py:933(__call__)
        1    0.000    0.000    0.000    0.000 sre_compile.py:393(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 sre_compile.py:482(_compile_info)
        2    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
        1    0.000    0.000    0.000    0.000 sre_compile.py:542(_code)
        1    0.000    0.000    0.000    0.000 sre_compile.py:557(compile)
        1    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
        1    0.000    0.000    0.000    0.000 sre_parse.py:173(getwidth)
        1    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:232(__next)
        3    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
        3    0.000    0.000    0.000    0.000 sre_parse.py:253(get)
        2    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
        1    0.000    0.000    0.000    0.000 sre_parse.py:407(_parse_sub)
        1    0.000    0.000    0.000    0.000 sre_parse.py:470(_parse)
        1    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 sre_parse.py:828(fix_flags)
        1    0.000    0.000    0.000    0.000 sre_parse.py:844(parse)
 10661380    8.451    0.000    9.311    0.000 utils1.py:15(pre_filter_strict_pass)
        2    2.438    1.219  100.387   50.194 utils1.py:377(remove_bridges)
 10664660    9.066    0.000   10.250    0.000 utils1.py:47(pre_filter_loose_pass)
   105639    0.327    0.000    0.327    0.000 {built-in method _codecs.utf_8_decode}
        4    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        6    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
    39221    0.044    0.000    0.044    0.000 {built-in method _struct.unpack}
      298    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
   399441    0.314    0.000    0.759    0.000 {built-in method builtins.hasattr}
    53012    0.028    0.000    0.028    0.000 {built-in method builtins.isinstance}
1196711/797808    0.414    0.000    0.550    0.000 {built-in method builtins.iter}
752211/752209    0.172    0.000    0.172    0.000 {built-in method builtins.len}
  5417983    2.043    0.000    2.043    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.min}
 10136985    2.147    0.000    2.147    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
  5496428   15.518    0.000   82.668    0.000 {built-in method builtins.print}
 15534235    5.027    0.000    5.027    0.000 {built-in method builtins.sum}
        2    0.000    0.000    0.000    0.000 {built-in method from_iterable}
        4    0.001    0.000    0.001    0.000 {built-in method io.open}
        6    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
    10665    0.068    0.000    0.068    0.000 {built-in method resource.getrusage}
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.000    0.000 {built-in method zlib.compressobj}
   171710    0.448    0.000    0.448    0.000 {built-in method zlib.crc32}
    13076    0.066    0.000    0.066    0.000 {built-in method zlib.decompressobj}
        2    0.000    0.000    0.000    0.000 {function DecompressReader.close at 0x110aa19d8}
  1003692    0.254    0.000    0.254    0.000 {method 'add' of 'set' objects}
   605403    0.108    0.000    0.108    0.000 {method 'append' of 'list' objects}
   105639    0.138    0.000    0.138    0.000 {method 'cast' of 'memoryview' objects}
        4    0.002    0.000    0.002    0.000 {method 'close' of '_io.BufferedReader' objects}
        2    0.016    0.008    0.016    0.008 {method 'close' of '_io.BufferedWriter' objects}
    52995   63.729    0.001   63.729    0.001 {method 'compress' of 'zlib.Compress' objects}
   105638    3.960    0.000    3.960    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'endswith' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.BufferedWriter' objects}
        2    0.006    0.003    0.006    0.003 {method 'flush' of '_io.BufferedWriter' objects}
        4    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Compress' objects}
  9738082    2.154    0.000    2.154    0.000 {method 'get' of 'dict' objects}
   797811    0.129    0.000    0.129    0.000 {method 'items' of 'dict' objects}
   398903    0.088    0.000    0.088    0.000 {method 'pop' of 'list' objects}
   105662    0.566    0.000    0.566    0.000 {method 'read' of '_io.BufferedReader' objects}
   105639    0.890    0.000    9.395    0.000 {method 'read1' of '_io.BufferedReader' objects}
 11120350   10.659    0.000   23.526    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
 10664660   22.535    0.000   22.535    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        6    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
 11120350    2.222    0.000    2.222    0.000 {method 'strip' of 'str' objects}
 14660464    4.026    0.000    4.026    0.000 {method 'update' of 'dict' objects}
    53017    0.235    0.000    0.235    0.000 {method 'write' of '_io.BufferedWriter' objects}
    10665    0.016    0.000    0.016    0.000 {method 'write' of '_io.TextIOWrapper' objects}


